Attaching to gzip_envoy-stats_1
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:390] initializing epoch 0 (base id=0, hot restart version=11.104)
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:392] statically linked extensions:
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.dubbo_proxy.route_matchers: default
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.matching.http.input: envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.transport_sockets.downstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tcp_stats, envoy.transport_sockets.tls, raw_buffer, starttls, tls
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.config.validators: envoy.config.validators.minimum_clusters, envoy.config.validators.minimum_clusters_validator
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.network.dns_resolver: envoy.network.dns_resolver.cares
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.upstreams: envoy.filters.connection_pools.tcp.generic
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.network: envoy.client_ssl_auth, envoy.echo, envoy.ext_authz, envoy.filters.network.client_ssl_auth, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.http_connection_manager, envoy.filters.network.local_ratelimit, envoy.filters.network.mongo_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.matching.network.custom_matchers: envoy.matching.custom_matchers.trie_matcher
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.access_logger.extension_filters: envoy.access_loggers.extension_filters.cel
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.compression.decompressor: envoy.compression.brotli.decompressor, envoy.compression.gzip.decompressor
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.upstreams.http.http_protocol_options
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.resolvers: envoy.ip
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.matching.action: composite-action, skip
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.retry_priorities: envoy.retry_priorities.previous_priorities
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.http.stateful_header_formatters: preserve_case
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.matching.input_matchers: envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.health_checkers: envoy.health_checkers.redis
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.grpc_credentials: envoy.grpc_credentials.aws_iam, envoy.grpc_credentials.default, envoy.grpc_credentials.file_based_metadata
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.transport_sockets.upstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tcp_stats, envoy.transport_sockets.tls, envoy.transport_sockets.upstream_proxy_protocol, raw_buffer, starttls, tls
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.clusters: envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.tracers: envoy.dynamic.ot, envoy.lightstep, envoy.tracers.datadog, envoy.tracers.dynamic_ot, envoy.tracers.lightstep, envoy.tracers.opencensus, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.common.key_value: envoy.key_value.file_based
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.thrift_proxy.transports: auto, framed, header, unframed
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.request_id: envoy.request_id.uuid
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.dubbo_proxy.serializers: dubbo.hessian2
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.http: envoy.bandwidth_limit, envoy.buffer, envoy.cors, envoy.csrf, envoy.ext_authz, envoy.ext_proc, envoy.fault, envoy.filters.http.adaptive_concurrency, envoy.filters.http.admission_control, envoy.filters.http.alternate_protocols_cache, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.bandwidth_limit, envoy.filters.http.buffer, envoy.filters.http.cache, envoy.filters.http.cdn_loop, envoy.filters.http.composite, envoy.filters.http.compressor, envoy.filters.http.cors, envoy.filters.http.csrf, envoy.filters.http.decompressor, envoy.filters.http.dynamic_forward_proxy, envoy.filters.http.dynamo, envoy.filters.http.ext_authz, envoy.filters.http.ext_proc, envoy.filters.http.fault, envoy.filters.http.grpc_http1_bridge, envoy.filters.http.grpc_http1_reverse_bridge, envoy.filters.http.grpc_json_transcoder, envoy.filters.http.grpc_stats, envoy.filters.http.grpc_web, envoy.filters.http.header_to_metadata, envoy.filters.http.health_check, envoy.filters.http.ip_tagging, envoy.filters.http.jwt_authn, envoy.filters.http.local_ratelimit, envoy.filters.http.lua, envoy.filters.http.oauth2, envoy.filters.http.on_demand, envoy.filters.http.original_src, envoy.filters.http.ratelimit, envoy.filters.http.rbac, envoy.filters.http.router, envoy.filters.http.set_metadata, envoy.filters.http.stateful_session, envoy.filters.http.tap, envoy.filters.http.wasm, envoy.grpc_http1_bridge, envoy.grpc_json_transcoder, envoy.grpc_web, envoy.health_check, envoy.http_dynamo_filter, envoy.ip_tagging, envoy.local_rate_limit, envoy.lua, envoy.rate_limit, envoy.router, match-wrapper
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.http.stateful_session: envoy.http.stateful_session.cookie
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.bootstrap: envoy.bootstrap.wasm, envoy.extensions.network.socket_interface.default_socket_interface
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.wasm.runtime: envoy.wasm.runtime.null, envoy.wasm.runtime.v8
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
